Código DANE,País/ET/Municipios,Departamento,Establecimientos educativos,Sector,Calendario,Matriculados,Publicados,PUESTO SABER11,Promedio Puntaje Global SABER 11,Desviación General,FORMULA 1,FORMULA 2,FORMULA 3,TOTAL
311001040338,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC ADOLFO LEON GOMEZ,Privado,A,7,6,2511,268,20,0.584,#N/A,0.920634921,#N/A
311001001022,BOGOTÁ D.C.,BOGOTÁ D.C.,COL DEL ROSARIO DE SANTO DOMINGO,Privado,A,78,78,149,336,29,0.763,0.79277854,0.920547945,0.825442162
327372000111,JURADÓ,CHOCO,IE SAN ROQUE DE LA FRONTERA,Oficial,A,33,30,9133,177,14,0.512,0.438355001,0.920038077,0.623464359
252110000081,BUESACO,NARIÑO,I.E. SAN IGNACIO,Oficial,A,10,10,6760,230,20,0.577,#N/A,0.92,#N/A
366001006112,PEREIRA,RISARALDA,COL SAINT ANDREWS,Privado,A,8,8,184,333,29,0.789,#N/A,0.919889503,#N/A
311001096783,BOGOTÁ D.C.,BOGOTÁ D.C.,COL MOUNT VERNON,Privado,A,13,12,160,335,27,0.7065,#N/A,0.919677008,#N/A
213006001185,ACHÍ,BOLIVAR,I.E. SANTA LUCIA,Oficial,A,15,15,9079,183,16,0.48175,#N/A,0.91959799,#N/A
354518000761,PAMPLONA,NORTE DE SANTANDER,SEM MENOR SANTO TOMAS DE AQUINO,Privado,A,25,25,918,297,26,0.68575,0.7622293,0.919504644,0.789161315
425377076576,LA CALERA,CUNDINAMARCA,COL DE  CAMBRIDGE,Privado,A,51,51,107,342,30,0.844,0.929175949,0.919354839,0.897510263
244001800869,DIBULLA,GUAJIRA,I. ETNOEDUC RURAL INTERNADO INDIG DE DUMINGUEKA,Oficial,A,11,15,9047,186,27,#N/A,0.457521033,0.919334187,#N/A
405615001474,RIONEGRO,ANTIOQUIA,CENTRO VOCACIONAL LEGIONARIOS DE CRISTO,Privado,A,6,8,1931,276,38,#N/A,#N/A,0.919320594,#N/A
311001002428,BOGOTÁ D.C.,BOGOTÁ D.C.,COL NUEVO GIMN,Privado,A,24,23,183,333,28,0.753,0.81519688,0.91920591,0.829134263
313001000592,CARTAGENA DE INDIAS,BOLIVAR,GIMN. LUJAN,Privado,A,16,16,113,341,30,0.72125,#N/A,0.919137466,#N/A
311001000727,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC SUPERIOR DE BOGOTA,Privado,A,59,59,382,318,28,0.72275,0.78627135,0.919075145,0.809365498
283094000701,BELÉN DE LOS ANDAQUÍES,CAQUETA,I.E RURAL EL PORTAL LA MONO,Oficial,A,9,9,7039,227,20,0.5435,#N/A,0.91902834,#N/A
311848002611,BOGOTÁ D.C.,BOGOTÁ D.C.,LIC  DE CERVANTES PADRES AGUSTINOS,Privado,A,91,90,40,356,31,0.817,0.845430183,0.919016384,0.860482189
268406000250,LEBRIJA,SANTANDER,INSTITUCION EDUCATIVA LA VICTORIA,Oficial,A,7,7,3238,261,23,0.5835,0.637039487,0.919014085,0.713184524
254820001607,TOLEDO,NORTE DE SANTANDER,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),#N/A,A,6,6,9186,158,14,0.48275,#N/A,0.918604651,#N/A
311001005231,BOGOTÁ D.C.,BOGOTÁ D.C.,INST MARSELLA,Privado,A,30,26,297,323,25,0.72325,0.812370539,0.918582375,0.818067638
350001001095,VILLAVICENCIO,META,COLEGIO ESPIRITU SANTO,Privado,A,43,43,24,361,32,0.8755,0.809474754,0.918575064,0.867849939
273283000075,FRESNO,TOLIMA,INSTITUCION EDUCATIVA FERNANDO GONZALES MESA,Oficial,A,17,17,4769,248,22,0.58,#N/A,0.918518519,#N/A
311001000450,BOGOTÁ D.C.,BOGOTÁ D.C.,COL HNAS MISIONERAS DE LA CONSOLATA,Privado,A,38,38,440,315,28,0.6865,0.760961692,0.918367347,0.788609679
247245001555,EL BANCO,MAGDALENA,INSTITUCION EDUCATIVA DEPARTAMENTAL PABLO NIEBLES DE GUAYABAL,Oficial,A,13,12,8870,195,16,0.51125,#N/A,0.918337587,#N/A
